

 nb subcarrier : 1, subcarrier index0

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 83.306061 , average_magnitude : 83.306061 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 90.931091 , average_magnitude : 87.118576 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 80.241638 , average_magnitude : 84.826263 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 81.344345 , average_magnitude : 83.955780 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 82.196381 , average_magnitude : 83.603897 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 81.507462 , average_magnitude : 83.254486 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 79.372498 , average_magnitude : 82.699913 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 85.833961 , average_magnitude : 83.091675 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.814026 , average_magnitude : 81.838600 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 85.550308 , average_magnitude : 82.209770 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 75.832382 , average_magnitude : 81.630013 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 85.544449 , average_magnitude : 81.956215 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 80.675613 , average_magnitude : 81.857712 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 90.875618 , average_magnitude : 82.501846 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 83.465019 , average_magnitude : 82.566055 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 89.186409 , average_magnitude : 82.979828 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 84.649147 , average_magnitude : 83.078026 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 89.491112 , average_magnitude : 83.434303 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.735664 , average_magnitude : 82.976486 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 81.568512 , average_magnitude : 82.906082 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 78.379921 , average_magnitude : 82.690544 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.629112 , average_magnitude : 82.505936 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 86.482819 , average_magnitude : 82.678841 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.174179 , average_magnitude : 82.282814 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 83.420372 , average_magnitude : 82.328323 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 90.616554 , average_magnitude : 82.647095 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 81.294388 , average_magnitude : 82.596992 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 83.533333 , average_magnitude : 82.630440 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.991722 , average_magnitude : 82.470482 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 89.764404 , average_magnitude : 82.713615 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.029411 , average_magnitude : 82.368958 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 87.462311 , average_magnitude : 82.528130 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.683754 , average_magnitude : 82.320724 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 82.917686 , average_magnitude : 82.338287 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 81.962997 , average_magnitude : 82.327560 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 84.396149 , average_magnitude : 82.385025 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 80.375534 , average_magnitude : 82.330711 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 91.954025 , average_magnitude : 82.583961 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 64.693558 , average_magnitude : 82.125229 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 78.482216 , average_magnitude : 82.034157 
Decode NSSS - fr

 nb subcarrier : 2, subcarrier index0

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.891891 , average_magnitude : 71.891891 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 66.282585 , average_magnitude : 69.087234 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 76.352875 , average_magnitude : 71.509117 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.208801 , average_magnitude : 72.934036 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.057205 , average_magnitude : 72.558670 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 88.049957 , average_magnitude : 75.140549 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.493088 , average_magnitude : 73.905197 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.120453 , average_magnitude : 73.932098 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.812141 , average_magnitude : 74.363213 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 72.736549 , average_magnitude : 74.200546 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.071999 , average_magnitude : 74.007050 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 59.428017 , average_magnitude : 72.792130 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 82.173393 , average_magnitude : 73.513763 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.537682 , average_magnitude : 73.515480 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 78.115952 , average_magnitude : 73.822174 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.929184 , average_magnitude : 73.891365 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.535652 , average_magnitude : 73.576324 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 82.510612 , average_magnitude : 74.072670 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 64.934082 , average_magnitude : 73.591698 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 67.735909 , average_magnitude : 73.298912 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 72.006523 , average_magnitude : 73.237366 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.978729 , average_magnitude : 73.407425 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.106377 , average_magnitude : 73.263901 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 78.307510 , average_magnitude : 73.474052 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.468758 , average_magnitude : 73.633835 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 71.879234 , average_magnitude : 73.566353 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.423721 , average_magnitude : 73.487000 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.957092 , average_magnitude : 73.610924 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.347412 , average_magnitude : 73.670807 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 69.693222 , average_magnitude : 73.538216 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.658066 , average_magnitude : 73.574333 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.130661 , average_magnitude : 73.685471 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.436981 , average_magnitude : 73.587036 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.363640 , average_magnitude : 73.639282 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.720779 , average_magnitude : 73.670181 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.745583 , average_magnitude : 73.783386 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.007393 , average_magnitude : 73.762413 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 79.606964 , average_magnitude : 73.916214 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.373657 , average_magnitude : 73.927948 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 65.945580 , average_magnitude : 73.728386 
Decode NSSS - fr

 nb subcarrier : 3, subcarrier index0

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 66.412773 , average_magnitude : 66.412773 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.086777 , average_magnitude : 69.749771 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 76.269341 , average_magnitude : 71.922966 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 69.698235 , average_magnitude : 71.366783 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 67.669662 , average_magnitude : 70.627357 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 68.742126 , average_magnitude : 70.313148 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 65.899048 , average_magnitude : 69.682564 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 79.711205 , average_magnitude : 70.936142 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 64.657051 , average_magnitude : 70.238464 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.357918 , average_magnitude : 70.350410 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 65.330490 , average_magnitude : 69.894051 
