

 noise gain  : 0.1

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.871994 , average_magnitude : 75.871994 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 79.484650 , average_magnitude : 77.678322 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.643356 , average_magnitude : 76.000000 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.018036 , average_magnitude : 75.254509 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 81.675224 , average_magnitude : 76.538651 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.434792 , average_magnitude : 76.188004 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.815895 , average_magnitude : 76.277702 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 76.282402 , average_magnitude : 76.278290 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.473099 , average_magnitude : 76.522156 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 76.638474 , average_magnitude : 76.533791 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 78.327950 , average_magnitude : 76.696892 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 76.533920 , average_magnitude : 76.683311 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.942574 , average_magnitude : 76.626328 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.231216 , average_magnitude : 76.169540 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 70.780235 , average_magnitude : 75.810257 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 76.124641 , average_magnitude : 75.829903 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.174866 , average_magnitude : 75.967842 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.949745 , average_magnitude : 75.800171 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.247482 , average_magnitude : 75.876343 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.584213 , average_magnitude : 75.861740 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 79.875160 , average_magnitude : 76.052856 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.213539 , average_magnitude : 75.923798 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.525291 , average_magnitude : 75.949944 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.418495 , average_magnitude : 75.927803 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.461380 , average_magnitude : 76.029152 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.007271 , average_magnitude : 75.912926 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 71.823875 , average_magnitude : 75.761482 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.238968 , average_magnitude : 75.742821 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.465630 , average_magnitude : 75.802231 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 75.061577 , average_magnitude : 75.777542 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.467270 , average_magnitude : 75.703018 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.517670 , average_magnitude : 75.697220 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.639511 , average_magnitude : 75.634865 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.639816 , average_magnitude : 75.458542 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.182350 , average_magnitude : 75.393509 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.779694 , average_magnitude : 75.293121 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.795189 , average_magnitude : 75.333717 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.231270 , average_magnitude : 75.173126 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.716972 , average_magnitude : 75.135796 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.656273 , average_magnitude : 75.148811 
Decode NSSS - fr

 noise gain  : 0.105

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.687935 , average_magnitude : 74.687935 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.095566 , average_magnitude : 75.891754 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.632973 , average_magnitude : 74.138824 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.544510 , average_magnitude : 73.740250 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.219513 , average_magnitude : 73.236099 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.964310 , average_magnitude : 74.190796 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.662338 , average_magnitude : 73.829590 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.258415 , average_magnitude : 74.258194 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.917831 , average_magnitude : 74.220375 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 80.397133 , average_magnitude : 74.838058 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.030327 , average_magnitude : 74.673721 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.609222 , average_magnitude : 74.668343 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.375183 , average_magnitude : 74.645798 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.520096 , average_magnitude : 74.922539 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.680908 , average_magnitude : 74.573097 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.596306 , average_magnitude : 74.449547 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.481865 , average_magnitude : 74.451447 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.373878 , average_magnitude : 74.558250 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.028717 , average_magnitude : 74.530373 
