

 noise gain  : 0.1

Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 75.033997 , average_magnitude : 74.634338 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.314072 , average_magnitude : 74.761948 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.374748 , average_magnitude : 74.835258 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 76.699013 , average_magnitude : 74.916290 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 75.071152 , average_magnitude : 74.922745 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.985054 , average_magnitude : 74.965240 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.172760 , average_magnitude : 75.088608 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.087349 , average_magnitude : 75.051529 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.456848 , average_magnitude : 74.994576 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.066742 , average_magnitude : 74.962578 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.353867 , average_magnitude : 75.075615 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.103951 , average_magnitude : 75.044273 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.844551 , average_magnitude : 75.038033 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 76.362328 , average_magnitude : 75.078163 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.758331 , average_magnitude : 75.156990 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.493446 , average_magnitude : 75.080887 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 79.927261 , average_magnitude : 75.215508 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.936440 , average_magnitude : 75.207970 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 74.338654 , average_magnitude : 75.185089 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.854843 , average_magnitude : 75.176620 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.284462 , average_magnitude : 75.204315 
Decode NSSS - fr

 noise gain  : 0.11

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.972832 , average_magnitude : 70.972832 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 74.108093 , average_magnitude : 72.540466 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 75.670959 , average_magnitude : 73.583961 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 75.827278 , average_magnitude : 74.144791 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.175415 , average_magnitude : 74.750916 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.219727 , average_magnitude : 74.995720 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.641861 , average_magnitude : 74.373734 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 68.255112 , average_magnitude : 73.608910 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.120300 , average_magnitude : 73.221283 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.760696 , average_magnitude : 73.275223 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.779984 , average_magnitude : 73.139290 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 75.877899 , average_magnitude : 73.367500 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.227402 , average_magnitude : 73.510574 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.093224 , average_magnitude : 73.695053 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.655182 , average_magnitude : 73.625725 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.526199 , average_magnitude : 73.682007 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.603607 , average_magnitude : 73.912689 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.469254 , average_magnitude : 73.999168 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.005249 , average_magnitude : 73.841591 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.363411 , average_magnitude : 73.767685 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.009026 , average_magnitude : 73.731560 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 79.166794 , average_magnitude : 73.978615 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.785614 , average_magnitude : 74.013702 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.772346 , average_magnitude : 74.045311 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.408363 , average_magnitude : 74.019829 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 74.133987 , average_magnitude : 74.024223 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.473763 , average_magnitude : 73.966797 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.751968 , average_magnitude : 73.959122 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.117180 , average_magnitude : 73.999054 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.520081 , average_magnitude : 74.116425 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.486977 , average_magnitude : 74.096123 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 71.207062 , average_magnitude : 74.005836 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.906097 , average_magnitude : 74.033112 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 74.486855 , average_magnitude : 74.046455 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.264503 , average_magnitude : 73.938400 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 78.482231 , average_magnitude : 74.064613 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.890266 , average_magnitude : 74.086937 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 81.778000 , average_magnitude : 74.289330 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.681702 , average_magnitude : 74.196831 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.970444 , average_magnitude : 74.191177 
Decode NSSS - fr

 noise gain  : 0.115

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.529564 , average_magnitude : 73.529564 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.380829 , average_magnitude : 74.955200 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.289925 , average_magnitude : 74.066772 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.005112 , average_magnitude : 73.551361 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.458191 , average_magnitude : 72.932724 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 80.921082 , average_magnitude : 74.264122 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.618286 , average_magnitude : 73.743286 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.471794 , average_magnitude : 73.834351 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.025139 , average_magnitude : 73.855553 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.809273 , average_magnitude : 74.050919 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 68.466545 , average_magnitude : 73.543243 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.038651 , average_magnitude : 73.751198 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.617821 , average_magnitude : 73.587090 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.379181 , average_magnitude : 73.786522 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.737991 , average_magnitude : 73.316628 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.433777 , average_magnitude : 73.323944 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 72.156448 , average_magnitude : 73.255272 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.763992 , average_magnitude : 73.283539 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.197914 , average_magnitude : 73.173767 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 71.117577 , average_magnitude : 73.070953 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.014526 , average_magnitude : 72.925407 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 82.423302 , average_magnitude : 73.357132 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.688629 , average_magnitude : 73.284592 
