

 nb subcarrier : 1, subcarrier index0

Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 69.973373 , average_magnitude : 73.408699 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 65.774277 , average_magnitude : 73.045151 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 72.710487 , average_magnitude : 73.029938 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 65.764641 , average_magnitude : 72.714058 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.465378 , average_magnitude : 72.870361 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 78.582588 , average_magnitude : 73.098854 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 80.069046 , average_magnitude : 73.366936 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.664848 , average_magnitude : 73.377968 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 69.525864 , average_magnitude : 73.240395 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 67.380852 , average_magnitude : 73.038338 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 81.548569 , average_magnitude : 73.322014 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.746674 , average_magnitude : 73.206680 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.169029 , average_magnitude : 73.174248 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.878815 , average_magnitude : 73.316811 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.947433 , average_magnitude : 73.423599 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.309364 , average_magnitude : 73.220337 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 87.100471 , average_magnitude : 73.605904 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 79.162827 , average_magnitude : 73.756088 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.474762 , average_magnitude : 73.853951 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.811287 , average_magnitude : 73.852859 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.497269 , average_magnitude : 73.868973 
Decode NSSS - fr

 nb subcarrier : 3, subcarrier index0

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 60.918545 , average_magnitude : 60.918545 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 81.366920 , average_magnitude : 71.142731 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 65.376358 , average_magnitude : 69.220604 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.253464 , average_magnitude : 70.478821 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 69.794212 , average_magnitude : 70.341904 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 70.894241 , average_magnitude : 70.433960 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 62.633312 , average_magnitude : 69.319580 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 69.954620 , average_magnitude : 69.398956 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.396454 , average_magnitude : 69.954239 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 68.188515 , average_magnitude : 69.777664 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.699638 , average_magnitude : 69.497841 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 67.113914 , average_magnitude : 69.299179 
